model,condition,alpha,n,correct_pct,correct_lo,correct_hi,steered_pct,steered_lo,steered_hi,other_pct,other_lo,other_hi
M0,clean,0.0,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.4,3,0.6667,0.0,1.0,0.0,0.0,0.0,0.3333,0.0,1.0
M0,correct_inject,0.6,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.8,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,steer_heldout,0.4,270,0.5778,0.4407,0.6926,0.3333,0.2704,0.4,0.0889,0.0259,0.163
M0,steer_heldout,0.6,270,0.1926,0.1296,0.2519,0.7148,0.6444,0.7963,0.0926,0.0593,0.1296
M0,steer_heldout,0.8,270,0.0185,0.0074,0.0296,0.9444,0.9222,0.963,0.037,0.0222,0.0519
M0,steer_train,0.4,348,0.7874,0.5983,0.9543,0.0747,0.0114,0.1449,0.1379,0.0315,0.2651
M0,steer_train,0.6,348,0.2299,0.1466,0.3066,0.6437,0.5731,0.7176,0.1264,0.1034,0.1519
M0,steer_train,0.8,348,0.0144,0.0057,0.023,0.931,0.9112,0.9535,0.0546,0.0319,0.0771
